Latitude,Longitude,Site,mean_size,sd_size
27.7900146,-175.8737878,PHR_4048,6.9230769231,4.8038446142
22.16405324,-159.298801,KAU-02,6.9328358209,4.4302408516
19.0755,-155.5525,HAW-17,6.9624724062,11.4557982798
19.339767,-154.989483,HAW-33,7,3.9938477277
21.31181502,-158.1273883,OAH-01,7.2198275862,5.3394670329
21.12473555,-157.3034402,MOL-02,7.2324561404,5.995842842
20.94806188,-156.2818276,MAI-20,7.4818181818,7.5673316364
27.9578,-175.80208,PHR_tc26,7.5,2.8867513459
22.20886029,-159.5115982,KAU-307,7.6923076923,6.1696112166
22.21768652,-159.5038459,KAU-338,7.7857142857,7.8267644502
21.28634267,-158.0404096,OAH-13,7.7878787879,6.6437133998
21.94592712,-160.1630919,NII-09,7.8,7.3795083073
22.20584532,-159.5088414,KAU-301,7.8181818182,6.8635431891
21.03058616,-156.5900207,MAI-12,7.8510638298,7.1210085168
19.808717,-155.0896,HAW-01,7.8679245283,9.467723751
21.433728,-157.786256,A,7.9812967581,25.139628044
20.65592498,-156.4454834,MAI-06,8.1685393258,7.3914010166
22.162717,-159.729133,KAU-14,8.1764705882,7.3121977062
19.70765663,-154.9840849,HAW-25,8.4524421594,6.3882886928
22.21783178,-159.5031637,KAU-339,8.5,8.1819584724
20.86314054,-156.1514562,MAI-02,8.7075471698,7.3850970481
19.7415,-155.0304,HAW-26,8.7326388889,11.8936069254
21.8897599,-159.6088704,KAU-06,8.735483871,5.9490012469
22.2129463,-159.5132949,KAU-325,8.7368421053,10.7655978145
22.21560714,-159.5038906,KAU-336,8.8181818182,7.1215103097
19.12912359,-155.9181864,HAW-38,9.0209059233,8.4650401105
20.923033,-156.909367,LAN-08,9.1933701657,9.9778176316
21.29295138,-158.0210568,OAH-16,9.2,9.0977810621
23.05328437,-161.9216014,NIH_145,9.25,4.6260134025
27.84535214,-175.9744687,PH370,9.3,7.5136912071
21.430239,-157.787483,H,9.3992673993,23.4779705703
22.21828013,-159.5386748,KAU-433,9.55,8.9176052957
19.42394069,-154.8805369,HAW-08,9.747826087,11.159693128
20.83204301,-156.6479811,MAI-08,9.7531380753,9.3442064129
22.21979859,-159.5025311,KAU-342,9.7647058824,8.8919163554
19.30423077,-155.8895059,HAW-40,9.8484848485,9.8074205942
