"Latitude","Longitude","Site","meanSize","sdSize","logMeanSize"
19.2996,-155.084,"HAW-28",0.159891598915989,0.954916334350072,-1.83325920013481
22.1642,-159.298933,"KAU-02",0.466491458607096,2.0511214943212,-0.76251556838627
20.192383,-155.703383,"HAW-20",0.812286689419795,2.60049769203797,-0.207901935345593
21.5337,-158.2333,"OAH-04",1.06799336650083,2.44548953308623,0.0657815293771682
21.5614,-158.2616,"OAH-02",1.1,2.52624415837795,0.0953101798043249
20.7337,-156.9213,"LAN-06",1.29206049149338,5.85433018693691,0.256238224305705
20.7751,-156.9897,"LAN-03",1.56526488257783,3.3400983957343,0.448055063713606
21.3192,-157.6541,"OAH-12",1.67653276955603,5.15265060835939,0.516727833142915
20.2472,-155.7766,"HAW-21",1.68694096601073,3.87488343426292,0.522916809478358
20.9141,-156.2144,"MAI-19",1.8741935483871,4.30391997315679,0.628178459372719
21.990383,-160.124833,"NII-04",2.05059523809524,2.79024948381814,0.718130111050454
20.8706,-156.8348,"LAN-07",2.09620253164557,5.90025902894297,0.740127389484138
21.9458,-160.1633,"NII-09",2.23809523809524,4.80495136330084,0.805625163986636
21.8897,-159.6088,"KAU-06",2.30434782608696,4.73569911425538,0.834797697622972
21.43575,-157.791533,"E",2.42268041237113,14.3171588430718,0.884874535640776
20.7412,-156.8758,"LAN-05",2.59512195121951,6.44324099670855,0.953633510203236
21.1861,-157.2534,"MOL-05",2.669921875,5.00512785913132,0.982049211684442
20.267028,-155.847965,"HAW-32",2.77817745803357,4.48312332571667,1.02179512207363
20.9869,-156.5269,"MAI-10",2.78695652173913,4.8345158701904,1.02495014799747
22.0068,-160.079,"NII-07",2.81118881118881,3.42310099292458,1.03360745835911
22.2306,-159.4054,"KAU-03",2.81203007518797,6.26334983460159,1.03390666919278
20.6597,-156.0411,"MAI-14",2.83525535420099,4.59543566338784,1.04213200515204
20.948,-156.2817,"MAI-20",2.87905604719764,5.25729735108048,1.05746247903264
